圃場番号,EC,PH,EC_mean,PH_mean,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,9_mean,10_mean,11_mean,12_mean,13_mean,14_mean,15_mean,16_mean,17_mean,18_mean,19_mean,20_mean,21_mean,22_mean,23_mean,24_mean,25_mean,26_mean,27_mean,28_mean,29_mean,30_mean,31_mean,32_mean,33_mean,34_mean,35_mean,36_mean,37_mean,38_mean,39_mean,40_mean,41_mean,42_mean,43_mean,44_mean,45_mean,46_mean,47_mean,48_mean,49_mean,50_mean,3データの最大圧の深さの平均,3データの最大圧力の平均,播種月日,SoilName,調査日,現物重量ｋｇ,計量時水分％,圃場面積,反収現物重量kg/10a,15%時の重量,15%反収現物重量kg/10a
1.0,25,7.14,27.67,7.36,285,486,650,779,822,887,959,1090,1257,1543,1812,1945,2105,2414,2748,3283,3515,3691,3855,3906,4036,4033,4039,3965,3917,3742,2008,1697,1697,1697,1697,1697,1486,1697,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,23,4345,7月4日,典型普通砂質未熟土,12月　　7日,723.0,0.18,5387.0,134.0,700.0,130.0
2.0,17,6.78,31.0,6.42,232,232,232,232,232,232,232,232,246,257,274,333,463,713,1125,1535,1848,2061,2324,2536,1782,1814,1867,1867,1867,1846,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,232,232,232,232,232,232,232,232,232,232,232,232,232,232,21,2684,,,,,,,,,
3.0,20,6.5,27.0,6.3,232,232,232,232,247,334,421,553,634,792,962,1151,1351,1676,1833,2150,2278,2429,2537,2595,2620,2623,2628,2628,2633,2684,2684,2684,2684,2684,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,21,2684,,,,,,,,,
4.0,8,6.63,17.33,6.49,232,289,325,370,411,507,669,756,1168,1361,1530,1725,1923,2147,2182,2455,2574,2684,2684,1867,1867,1867,1867,1867,1867,1867,1049,1049,1049,1049,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,17,2684,,,,,,,,,
5.0,43,6.68,58.0,6.69,232,295,398,579,728,1149,1336,1590,1836,1948,2020,2217,2460,2608,2684,2684,2684,2684,2684,1867,1049,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,13,2684,7月4日,典型普通砂質未熟土,12月　　7日,811.0,0.183,5643.0,144.0,780.0,138.0
7.0,15,7.05,16.0,6.92,232,294,406,530,625,776,852,1119,1287,1479,1665,1899,2088,2371,2480,2479,2580,2542,2500,2457,2399,2350,2323,2295,2290,2290,2290,1486,1661,1723,1715,1867,1867,1867,1867,1867,1049,1049,1049,1049,1049,1049,1034,1049,232,232,232,232,232,232,21,2684,7月4日,典型普通砂質未熟土,12月　　8日,766.0,0.187,2909.0,263.0,730.0,251.0
8.0,17,6.75,18.33,6.65,156,240,304,403,489,570,634,723,722,878,1117,1302,1534,1910,2304,3002,3501,3902,2435,2674,2818,2903,2861,2778,2752,1855,1009,946,848,716,626,585,533,508,489,468,443,456,458,376,528,922,1233,1283,1710,75,75,75,75,75,29,4827,7月4日,典型普通砂質未熟土,12月　　7日,894.0,0.175,5379.0,166.0,870.0,162.0
9.0,18,6.69,23.0,6.57,150,287,461,638,780,924,1031,1202,1295,1561,2102,2507,2630,2837,3057,3303,3510,3682,2083,2365,2435,2357,2353,2265,2081,2377,2761,1215,1455,117,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,24,4724,,,,,,,,,
10.0,26,6.17,25.0,6.22,229,220,267,376,494,603,722,816,906,1041,1275,1431,1599,1878,2131,2394,2709,2881,2914,2902,2851,2821,2830,3001,3149,3274,3404,3716,3935,3891,4024,4025,4159,4147,1300,1301,1384,1437,1505,1598,1657,1578,1620,1706,1712,77,77,77,77,77,36,4875,7月4日,典型普通砂質未熟土,12月　　8日,940.0,0.183,5502.0,171.0,900.0,164.0
11.0,16,6.29,16.67,6.18,161,206,258,361,474,578,675,858,1057,1379,1402,1327,1382,1470,1692,1916,2454,2647,2739,2856,3005,3160,3321,3389,3401,3434,3538,3702,3683,3756,3805,3793,3794,3906,3937,3940,3825,3642,3593,3583,3085,3727,3801,3752,3591,3752,3681,3656,3667,3538,34,4363,,,,,,,,,
12.0,20,6.56,19.33,6.05,158,262,355,437,531,608,721,896,1018,1140,1293,1571,1893,2124,2303,2376,2483,2758,3043,3264,3520,3804,3883,3920,3246,4053,4172,4299,4317,4190,4115,4002,4209,4305,4428,4499,2897,2858,2778,2784,2755,2608,1259,2789,2866,2811,2821,1233,1217,1211,37,4820,,,,,,,,,
13.0,16,5.82,13.33,6.06,223,235,278,320,359,408,467,517,595,693,846,909,1041,1255,1500,1832,2104,2356,2483,2795,3065,3228,3356,3560,3724,4092,4258,4219,2932,2647,2767,2784,2701,2684,2638,2478,2200,1970,1913,1817,1757,1788,1907,2110,2136,2073,2108,2006,498,423,29,4737,,,,,,,,,
14.0,10,6.67,11.33,6.58,224,241,284,330,375,434,490,553,642,769,944,1215,1348,1518,1667,1790,1904,2038,2264,2615,2995,3314,3472,3291,1934,1930,1958,1948,1916,1864,1846,1824,1829,1895,1996,2107,2213,2299,2327,2454,2493,2461,2417,2277,2116,1989,1860,1757,1540,1749,45,4708,,,,,,,,,
15.0,57,6.48,56.33,6.63,156,166,212,248,276,292,330,407,504,612,735,997,1357,1542,2089,2366,2634,3224,3570,4087,2594,2683,2748,2976,1617,1697,1697,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,23,4925,,,,,,,,,
