,field_no,soy_type_CD,2021-07-13.tiffevi2_median,2021-07-14.tiffevi2_median,2021-07-15.tiffevi2_median,2021-07-16.tiffevi2_median,2021-07-17.tiffevi2_median,2021-07-18.tiffevi2_median,2021-07-19.tiffevi2_median,2021-07-20.tiffevi2_median,2021-07-21.tiffevi2_median,2021-07-24.tiffevi2_median,2021-07-25.tiffevi2_median,2021-07-26.tiffevi2_median,2021-07-30.tiffevi2_median,2021-07-31.tiffevi2_median,2021-08-02.tiffevi2_median,2021-08-03.tiffevi2_median,2021-08-05.tiffevi2_median,2021-08-06.tiffevi2_median,2021-08-07.tiffevi2_median,2021-08-15.tiffevi2_median,2021-08-20.tiffevi2_median,2021-08-27.tiffevi2_median,2021-08-28.tiffevi2_median,2021-08-31.tiffevi2_median,2021-09-02.tiffevi2_median,2021-09-03.tiffevi2_median,2021-09-06.tiffevi2_median,2021-09-07.tiffevi2_median,2021-09-10.tiffevi2_median,2021-09-12.tiffevi2_median,2021-09-15.tiffevi2_median,2021-09-19.tiffevi2_median,2021-09-21.tiffevi2_median,2021-09-23.tiffevi2_median,2021-09-25.tiffevi2_median,2021-09-27.tiffevi2_median,2021-09-28.tiffevi2_median,2021-10-02.tiffevi2_median,2021-10-03.tiffevi2_median,2021-10-04.tiffevi2_median,2021-10-06.tiffevi2_median,2021-10-07.tiffevi2_median,2021-10-09.tiffevi2_median,2021-10-13.tiffevi2_median,2021-10-14.tiffevi2_median,2021-10-15.tiffevi2_median,2021-10-23.tiffevi2_median,2021-10-24.tiffevi2_median,2021-10-25.tiffevi2_median,2021-10-26.tiffevi2_median,2021-10-28.tiffevi2_median,2021-10-29.tiffevi2_median,2021-11-01.tiffevi2_median,2021-11-02.tiffevi2_median,2021-11-03.tiffevi2_median,2021-11-05.tiffevi2_median,2021-11-06.tiffevi2_median,2021-11-07.tiffevi2_median,2021-11-08.tiffevi2_median,yield_1,geometry
0,1,1.0,1.0,1.0220206625600232,0.9762161483179566,0.9579315752669717,0.8900408971629435,0.9307902649254884,0.9836067470487558,1.024871772281658,0.9807393733280109,0.9719814761134238,1.0276626692654929,0.9564576241600583,0.9964594161617703,0.9920744453853875,1.1333406127771959,1.2293492862158344,1.3450672379390858,1.469007527094962,1.4335499801405984,1.5016793004179225,1.5588258994030015,1.6316778549955242,1.6767155409380081,1.7517731724677548,1.8765989036318995,1.9255328624645662,1.9458322116542643,1.8638512770892042,1.8134108797866366,1.640239033549667,1.6285025749006932,1.5918900907778184,1.5508081492390824,1.5985929499369924,1.6014236718542973,1.7538165870287445,1.684086255878812,1.596812859975586,1.5644782514894076,1.535764918330985,1.5106728605003175,1.448957792156552,1.3823786554490294,1.4085416728859361,1.3777283869521284,1.3353635888978408,1.2814472787230733,1.2159794564278266,1.169822960539424,1.0787532264196489,0.9961683277873838,0.9220682646426285,0.8564530369853829,0.7993226448156471,0.7808651783489459,0.7676989797153094,0.7598240489147373,0.7460008120842384,0.7361356976370335,130.0,"POLYGON ((140.0216142734536 40.26848425100889, 140.0231606030169 40.26842160256529, 140.0231334633476 40.26819258008467, 140.0214396549125 40.26825037887728, 140.0216142734536 40.26848425100889))"
1,2,1.0,1.0,0.7741683991683992,0.6927080605594395,0.6940878544445594,0.6226882751032426,0.5905996904862623,0.6051741393895753,0.5998739548163062,0.5714110756013172,0.5208071482348621,0.556251648331314,0.48166919876778197,0.4823853722843881,0.485724121754101,0.530113552504344,0.5523734802752113,0.5731695417486549,0.5916086009863073,0.5354506735475071,0.5426288250572958,0.6109935776646349,0.6878253600655228,0.7325319151503575,0.7981476897238872,0.8822500641843307,0.935364958112551,0.9190401951184491,0.8871940885580201,0.8467952111088347,0.8185526271948832,0.8342112680100217,0.8162413214312368,0.8393050753615073,0.8819027207389901,0.9370656848861145,0.984607896091108,0.9669563973016201,0.9458580625617904,0.8965627218685698,0.8530459997665204,0.8153078962556423,0.7828254186237178,0.7855080913892772,0.8233559145523212,0.8433031349120439,0.8626688547444382,0.8814530740495048,0.8996557928272427,0.8651016541998563,0.8115802225415217,0.7437544970396032,0.6616244776941005,0.5651901645050138,0.5261240813279472,0.5317038338663634,0.5481398577460865,0.5754321529671161,0.615549288631228,0.6684912647384224,,"POLYGON ((140.0214374856136 40.27121568660164, 140.0224453502695 40.27118666489167, 140.0224822736879 40.27117752383334, 140.0224962353743 40.27115661587417, 140.0225061504656 40.27112502659536, 140.0225274815557 40.2709440724509, 140.0219048619884 40.27088261802177, 140.0218311306108 40.27096448135572, 140.0218287229063 40.27096685946239, 140.0218259848666 40.27096901771146, 140.0217076268066 40.27105246593421, 140.0215965782264 40.27113876720699, 140.0215932383029 40.27114105258317, 140.0215189623865 40.27118571922499, 140.0215163447257 40.27118715058852, 140.0215135677375 40.27118839336492, 140.02151065451 40.27118943722165, 140.0215076292637 40.27119027348009, 140.0215045171506 40.27119089518754, 140.0214518832233 40.27119946784186, 140.0214374856136 40.27121568660164))"
2,3,1.0,1.0,0.9744482791850987,0.9344843409106159,0.9410604059350931,0.8761135143731057,0.8866636500395384,0.9552943678913351,1.0545024808243812,1.0155918391194423,0.9696824244021397,1.0213024913494528,0.959011413190888,0.9372247469713691,0.8560640708141968,0.9442080973942871,1.0019004328209047,1.041423150350806,1.099794184697622,1.0366232306261687,1.1041328519047673,1.2198216144714322,1.3303750095268687,1.3940985073923813,1.4552669029431036,1.5316428529341046,1.5242053994268085,1.4554314311710648,1.3634243660874297,1.2865849251379533,1.19532968688758,1.2389503195433242,1.221247825250468,1.2436487335963082,1.3173973544167337,1.4040929667496933,1.516854702974455,1.4745198582672325,1.4199642465296982,1.340106615322867,1.2606048182157357,1.1814588552083043,1.119133015356362,1.1028208667290749,1.1325224093264437,1.1424962534150491,1.1462590336246212,1.1438107499551604,1.1351514024066667,1.0769998677012167,1.0003646790673477,0.9087794318364875,0.8022441260086368,0.6807587615837952,0.6323050081160496,0.6302887083706986,0.6437013291192057,0.6725428703615709,0.7189555599028189,0.7829393977429494,,"POLYGON ((140.0227600065069 40.27166649631877, 140.0234296258888 40.27164102681319, 140.0234210569049 40.27148682053289, 140.022757892511 40.27161931988356, 140.0227600065069 40.27166649631877))"
3,4,1.0,1.0,0.9417345389394923,0.895326374066083,0.8662959275387156,0.8004468533651575,0.8111538099845766,0.8636290901650777,0.9161302770249257,0.8819464553207247,0.88716875081822,0.97419228953418,0.9437229187734961,0.9938751464345357,1.0287902854226958,1.183223892889645,1.3124905681079808,1.4191549784642505,1.5640981476153621,1.5756801792225035,1.6292007692761405,1.7022057954457122,1.7696106785490378,1.8229303876699758,1.8741383422280828,1.9707621837397509,2.0160503640635485,2.0251528162617416,1.9393242754437308,1.882241885007133,1.707984405847266,1.6991327108907879,1.6716503746526687,1.631449383171871,1.6850327707300055,1.7087233939294553,1.8682106392443876,1.8058446778316446,1.722972474421826,1.682485104257772,1.637817700267976,1.5889702624524373,1.516174643441672,1.4852950242254745,1.4963314048038443,1.4620199077302367,1.4152375552961398,1.355984347501553,1.2842602843464763,1.1809656492312692,1.065954697054039,0.9424935082485718,0.8105820828148672,0.6702204207529254,0.6155356021698967,0.604793219597097,0.6181390181364185,0.6555729977878612,0.7144999180713159,0.7949197789867823,,"POLYGON ((140.0213209044884 40.27196261244941, 140.0233325316368 40.27184885697782, 140.0233759754259 40.27184149771843, 140.0234122157487 40.27183168972334, 140.0234406269004 40.27182022649036, 140.0234430382529 40.27179168550353, 140.0234145760857 40.27174706663233, 140.0234137217076 40.27174562112798, 140.0234016618322 40.27172351125952, 140.0213315128014 40.27180823170873, 140.0213224224436 40.27183665538743, 140.0213215217671 40.2718390051612, 140.0213082288559 40.27186864344059, 140.0213078757501 40.27189814744928, 140.0213075719621 40.27190144671511, 140.0213067441664 40.27190469282851, 140.0213017671183 40.27191936870292, 140.0213198750694 40.27195984493891, 140.0213208035799 40.27196229079208, 140.0213209044884 40.27196261244941))"
4,5,1.0,1.0,0.936991517724599,0.9320685070370537,0.9334656615903402,0.8830354714560457,0.9290102744983677,0.938458435661675,0.916382007710944,0.8662275626490358,0.834446599150203,0.8900620951665236,0.821464208004678,0.9025395330940854,1.0154641283146941,1.177745036724052,1.3307971341454337,1.456762705228778,1.6235069454948956,1.6422539051961538,1.6978989523727155,1.766281272310396,1.827141954690602,1.8746119125645777,1.9182855066674869,2.0051744376552327,2.053481863518786,2.055786194159278,1.9689975677579297,1.9100832022053336,1.733051791377166,1.709897026761098,1.670015639054915,1.6209099271587384,1.6517876946319987,1.6456817235841035,1.7904073222567154,1.7289330366917597,1.646587552280371,1.609575544485632,1.5754491566883069,1.544208388888398,1.4740292389685647,1.445606615860734,1.4589405195649057,1.4257271551752264,1.3801564418287662,1.322228379525526,1.251942968265505,1.1570492583163217,1.045418456213787,0.925065057376205,0.7959890618035758,0.6581904694958993,0.6080092406479597,0.590319010711996,0.5972485731521967,0.6287979279685616,0.6834556132027453,0.7612216288547476,138.0,"POLYGON ((140.021189675048 40.27220714559763, 140.0233750245211 40.27206865597525, 140.0233826048934 40.27194483158011, 140.0233797604477 40.27192473234394, 140.0213023648474 40.27203738904731, 140.0212660449203 40.27205785837311, 140.0212634092082 40.27205920830287, 140.0212606258891 40.2720603714881, 140.0212579905976 40.27206135778655, 140.0212577910098 40.27207804652225, 140.0212674316944 40.27210877900123, 140.0212680709264 40.27211136572252, 140.0212683784601 40.27211398781724, 140.0212683513757 40.27211662039025, 140.0212679899302 40.27211923844683, 140.0212672975553 40.27212181713013, 140.0212662808248 40.27212433195708, 140.0212649493917 40.27212675905094, 140.0212633158972 40.27212907536791, 140.0212613958503 40.27213125891593, 140.0212592074808 40.27213328896351, 140.0212567715658 40.2721351462366, 140.0212541112328 40.27213681310148, 140.0212512517402 40.27213827373227, 140.0212482202371 40.27213951426113, 140.0212450455058 40.27214052291001, 140.0212417576885 40.27214129010235, 140.0212383880011 40.27214180855414, 140.0211758242847 40.27214902618675, 140.0211757299263 40.27215691036084, 140.021189675048 40.27220714559763))"
5,6.1,1.0,1.0,0.8894611116819069,0.8409273475996067,0.8134272948196031,0.753033736868056,0.7812852441893308,0.8154671287797396,0.824229352695303,0.7945122392127874,0.7782552180192547,0.8405782584941717,0.7680579406780036,0.84340639856461,0.9136137743972919,1.0671490046438816,1.2153158142525304,1.3554163412536535,1.5259013889788164,1.537531260433209,1.6236271432182499,1.716873575018801,1.8084590891829684,1.870384069711255,1.936076856071258,2.0428448473337784,2.0974817418347413,2.104280712012289,2.0222599783837842,1.9674516108487392,1.7911698465108072,1.7841818189038159,1.7526649734484563,1.7099600709504157,1.748757328359724,1.7530246757768684,1.9144027457206383,1.8517988148561295,1.771930409582005,1.7368660761830388,1.703162830226933,1.6708206717136875,1.5968847310208607,1.5642649064193435,1.5729611979091362,1.5288007273433937,1.465398066874803,1.382753216503364,1.2808661762290772,1.1535960622344288,1.0185781073350288,0.8876388099035415,0.7607781699399662,0.637996187444303,0.5921124296224468,0.5817821109268309,0.5893699985418446,0.6148760924674881,0.6572268684284884,0.7164223264248455,,"POLYGON ((140.0213779153333 40.27369217103921, 140.0228636343745 40.27359293217017, 140.0228770816931 40.27357889198394, 140.0228791821446 40.2735769036011, 140.022881518658 40.27357507626327, 140.0228840702939 40.27357342634674, 140.0228868141848 40.27357196863777, 140.0228897257406 40.27357071620007, 140.0228927788683 40.27356968025779, 140.0228959462063 40.27356887009485, 140.0228991993697 40.27356829297177, 140.022902509204 40.27356795406066, 140.0229058460472 40.27356785639874, 140.0229183145173 40.27356794387377, 140.0229276398157 40.27354490094029, 140.0229286628113 40.27354271118408, 140.0229299278757 40.27354059692757, 140.0229580856631 40.27349843042252, 140.0229599153028 40.27349600867429, 140.0229620621173 40.27349374484884, 140.0229645030827 40.27349166322467, 140.0229672120211 40.27348978612623, 140.0229701598801 40.27348813368451, 140.0229733150453 40.27348672362123, 140.0229766436792 40.27348557105861, 140.0229801100835 40.27348468835739, 140.0230577377362 40.27346828652788, 140.0230620728178 40.27346759150819, 140.0231068230948 40.2734626383282, 140.0231240413337 40.27333365725443, 140.0213165867406 40.2734345890415, 140.0213654706807 40.27368798209319, 140.0213779153333 40.27369217103921))"
6,6.2,1.0,1.0,0.8424001550410886,0.7864196524482526,0.7586550612105052,0.7194822917069521,0.747300212051791,0.7746430583890533,0.7744471697797799,0.7690002958103975,0.7518949196787031,0.7901739564895539,0.7118796895239901,0.7796909423753187,0.8583430332883704,0.9856728033976633,1.140728578627385,1.2868911304798172,1.4561141234277766,1.4841147388119014,1.5949535720269432,1.7118031084665004,1.8134846652086083,1.888486674652663,1.9620017787388109,2.0696390891464866,2.115386187537566,2.1104613231520304,2.02191248775305,1.9602388893158558,1.7828726963073354,1.774628530571057,1.7388958987664418,1.6951423340722223,1.7306236396008898,1.734840607377212,1.8925778034353442,1.828701961881175,1.7470400807538249,1.7113657035159882,1.676158267843897,1.6414177737375526,1.5649274866959118,1.533392320083295,1.5468122738997032,1.5074524856694556,1.4531935461315924,1.3840354552861136,1.299978213133019,1.1842112445090232,1.0575325653522076,0.9312275962839639,0.8052963373042928,0.6797387884131941,0.6272075186841618,0.6135651573255739,0.6180136883993494,0.6405531119054882,0.6804901725557011,0.7378248703499883,,"POLYGON ((140.0214474891582 40.2740029180126, 140.0228514269706 40.27391329046844, 140.0228160321346 40.27366143681995, 140.0213929949108 40.27376654270904, 140.0214474891582 40.2740029180126))"
8,8,1.0,1.0,0.8131783230933373,0.7418396607793581,0.7113870456959415,0.6544364120243736,0.6660936431103233,0.6937568449050323,0.6903406625951547,0.6787456119328787,0.6943758675527194,0.7925440065635874,0.7541941998361241,0.8928631720741113,1.0284717264514758,1.2216384022159203,1.395958865103,1.5281804971387727,1.6948982488330406,1.6907087743225058,1.7577776958331706,1.7906040316657432,1.8218723751221775,1.8552331316344841,1.8956392462890141,1.97793493685242,2.0207999087823367,2.047266565101036,1.987171345478637,1.945945956892887,1.7744019824777055,1.7667678360389834,1.7398452801349198,1.6978431169007875,1.727042149764636,1.7220106717487178,1.879459271189985,1.8192901768897582,1.7439354954322728,1.7226584699827197,1.7064388306639928,1.6952765774760927,1.6416495389481478,1.6309480847352902,1.6631722148375203,1.6416428844981246,1.5995684911024215,1.536949034650411,1.4537845151420938,1.3240085985636167,1.1772513581005857,1.0335788690716514,0.8929911314768141,0.7554881453160737,0.6840565394353413,0.6607887586943753,0.65605472990757,0.6698544530749255,0.7011188698324539,0.7498479801801555,162.0,"POLYGON ((140.0231354774656 40.27434263398963, 140.023158472155 40.27433840149961, 140.0231881063959 40.27432313047129, 140.0231911083756 40.27432174428232, 140.0231942751513 40.27432059314928, 140.0231975754516 40.27431968843948, 140.0232009766864 40.27431903908679, 140.0232044452689 40.27431865150349, 140.0232079469474 40.27431852951692, 140.0232114471432 40.27431867433167, 140.0232149112924 40.27431908451771, 140.0232762947522 40.27432876627723, 140.0233115769788 40.2743290138021, 140.0233157766204 40.27432923566901, 140.0234538854536 40.27434291165353, 140.0234546696209 40.27434299616888, 140.0234871131441 40.27434677776333, 140.0235578364637 40.27433568673664, 140.0236845821735 40.27431172443966, 140.0237091105818 40.27430520770019, 140.023606994024 40.27330278067866, 140.0233434006401 40.27331803438497, 140.0231338754426 40.27434179960285, 140.0231354774656 40.27434263398963))"
9,9,1.0,1.0,0.8711306806260894,0.8089557737809528,0.8010549263062507,0.7314656835380232,0.7407801411177897,0.7787276752231204,0.803410515614543,0.7707212786912748,0.7422235792613675,0.8077143957368396,0.7461909887683426,0.8238735401416193,0.8810386220417966,1.0393292359215864,1.1804966959003587,1.3193845522445333,1.4795961362762247,1.4775474761886673,1.5681980911166569,1.6634069896101735,1.7614179859225965,1.8270889005769033,1.9048679337918697,2.024047295185648,2.0755076636243586,2.086748233195339,2.007220692370716,1.951918959209059,1.778635303901158,1.7698637450631205,1.7370752105404916,1.6941742038958572,1.7273836268993268,1.7217095614923317,1.8745215984072925,1.810034069613608,1.730659277079689,1.692376292287168,1.6607024084214368,1.6356376254824951,1.562020082547133,1.524336864405817,1.522587971058547,1.4716194146473407,1.4036135977382733,1.3185705203313451,1.2164901824265562,1.090069018022618,0.960442763479369,0.8358441146706427,0.7162730715964395,0.6017296342567592,0.5499090046341822,0.5361102935373052,0.5391977646062897,0.5591714178411359,0.5938750869502017,0.6433087719334877,,"POLYGON ((140.0215251289908 40.2751809447846, 140.023021176339 40.27506490977269, 140.0230255345176 40.27505838317994, 140.0230255902588 40.27505371867044, 140.0230235113339 40.27504794635467, 140.0229761970868 40.27500325105598, 140.0229744117072 40.27500140995116, 140.0229498530273 40.27497370093357, 140.0229477724747 40.27497103578612, 140.0228310708513 40.27479992575331, 140.0215145781714 40.27490037735242, 140.0215251289908 40.2751809447846))"
10,10,1.0,1.0,0.8597311759996629,0.7939595348102356,0.7818766889791497,0.7235639936360807,0.743604421011189,0.7727851889801568,0.7757374504426778,0.7675879236786587,0.7721042671041273,0.8626791432424431,0.8237424912693433,0.9268293880308178,1.043416900881077,1.2085472521168648,1.3639298305909602,1.4879923893600635,1.6502038246080553,1.6610725742905792,1.7258624960836382,1.810567797594682,1.8793596497658775,1.9368387767299318,1.984905699154922,2.0734172410162635,2.11836628960817,2.1132006846675453,2.027343861532063,1.965620323921896,1.7913931187677032,1.7832607455899943,1.7532274290373095,1.7083948512229064,1.742450341130929,1.7505693950412062,1.9070309277724646,1.8477402487813162,1.767959321094793,1.7352080221306967,1.7023877157908656,1.6694984020752994,1.5988981192346117,1.5695665385321214,1.5815036599678285,1.5448711180264256,1.4906322331695385,1.4187870053971674,1.3293354347093127,1.213331692487705,1.0857546463563583,0.957694119471198,0.8291501118322242,0.7001226234394365,0.646040252772541,0.6258405856590422,0.6245447544749264,0.6421527592201939,0.6788494475525592,0.7346348194720225,164.0,"POLYGON ((140.0215806580955 40.27551629080892, 140.0231498077531 40.27541087467477, 140.0231488350374 40.27540915614917, 140.0231476329223 40.27540671583154, 140.0231467436173 40.27540419810347, 140.0231461754099 40.27540162642798, 140.0231459335952 40.27539902477085, 140.0231460204267 40.27539641737727, 140.0231464350951 40.27539382854588, 140.0231471737362 40.27539128240233, 140.0231482294662 40.27538880267447, 140.0231495924469 40.27538641247119, 140.0231512499762 40.27538413406708, 140.0231531866075 40.2753819886949, 140.023155384293 40.27537999634762, 140.0231578225522 40.27537817559218, 140.0231604786627 40.27537654339642, 140.0231633278718 40.27537511497096, 140.0232406171238 40.2753403277157, 140.023054820045 40.27515066200845, 140.021571155955 40.27526344853489, 140.0215697712907 40.27527041609514, 140.0215692115239 40.27531721049102, 140.021568754498 40.27535543745186, 140.0215761010585 40.27539544687165, 140.0215812602926 40.27541837095747, 140.0215816579883 40.27542078078634, 140.02158177151 40.27542320823405, 140.0215806580955 40.27551629080892))"
