,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.0231431973264,40.27160893437077,2021-11-08,134,322,459,672,880,1102,1246,1404,1472,1691,1601,1131,96,765,7,69,47,34,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07991672328274,40.280592087211964,2021-11-08,270,331,570,466,899,1541,1654,1844,1799,1788,1429,937,96,707,4,48,58,33,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08018621786798,40.2808615817972,2021-11-08,306,292,484,530,877,1298,1477,1572,1577,1893,1490,1041,96,765,7,55,51,30,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0803658809248,40.28104124485402,2021-11-08,306,338,511,596,885,1134,1271,1470,1503,1893,1520,1134,96,765,7,62,53,34,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.02233471357067,40.275292027035654,2021-11-08,160,377,550,710,971,1347,1508,1926,1684,1667,1733,1251,96,744,5,74,57,39,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02296353426956,40.27924461428578,2021-11-08,190,424,594,737,989,1392,1480,1688,1674,1802,1697,1268,96,765,5,75,61,45,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02206521898543,40.271069945200296,2021-11-08,145,408,651,913,1169,1536,1625,2236,2090,1994,1904,1152,96,796,5,95,67,45,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02233471357067,40.271878428956,2021-11-08,179,326,451,657,1018,1159,1330,1432,1646,1806,1670,1208,96,765,7,66,45,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0225143766275,40.27601067926295,2021-11-08,171,426,595,699,1066,1475,1579,2136,1954,1998,1753,1255,96,776,5,72,61,43,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0225143766275,40.276998826075484,2021-11-08,91,214,360,442,832,1308,1519,1744,1836,1893,1560,878,96,706,4,46,37,20,0,0,0,0,0
