,id,Address,CityCode,Address_2,LandCatego,Area,Agricult_1,Jurisdicti,名前_漢,耕地面?,水田面?,作物等?,Unnamed_ 1,作物名,転作利?,転作??,地権者_,sensor_loc,distance,uniqueID,作付年_y,H23以前_y,播種月日,geometry
0,05100030469-068904,秋田県八峰町峰浜沼田坊塚下1-6,53490.0,秋田県八峰町峰浜沼田坊塚下1-6,1.0,1774.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　モヨ,1703.0,1703.0,1703.0,17.03,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,斉藤　忠雄,,1650.0,3.0,,☑,2021/07/04,"MULTIPOLYGON (((-68939.30601924157 30479.23625979806, -68939.10085313891 30480.46746234087, -68876.31385686247 30476.77403509973, -68877.5449354177 30452.97242502512, -68939.71643789824 30469.79769231527, -68939.30601924157 30479.23625979806)))"
1,05100031429-064065,秋田県八峰町峰浜塙下才神187,53490.0,秋田県八峰町峰浜塙下才神187,1.0,3012.0,農業振興地域内・農用地区域内,八峰町農業委員会,藤嶋　久徳,2891.0,2891.0,2891.0,28.91,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,高杉　良一,,15875.0,104.0,,☑,2021/06/27,"MULTIPOLYGON (((-64111.88715698176 31451.13327459545, -64103.76866540616 31461.14611330671, -64093.57540228919 31472.89993703529, -64075.6596339997 31457.42873583995, -64059.06501450187 31443.20477020227, -64041.40355171498 31427.91396509234, -64028.72045287715 31416.65328813133, -64017.76660827654 31407.15805918999, -64026.04747396909 31397.68644923102, -64035.24844724271 31386.95195609051, -64037.0526027316 31388.15172002663, -64040.20980686311 31387.88106962973, -64051.4494190952 31397.94805838546, -64068.58843683035 31412.85907176281, -64084.21210135111 31427.07549823643, -64099.92589705613 31440.60629163002, -64111.88715698176 31451.13327459545)))"
2,05100031451-064046,秋田県八峰町峰浜塙下才神186,53490.0,秋田県八峰町峰浜塙下才神186,1.0,2936.0,農業振興地域内・農用地区域内,八峰町農業委員会,藤嶋　久徳,2818.0,2818.0,2818.0,28.18,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,高杉　良一,,15900.0,105.0,,☑,2021/06/27,"MULTIPOLYGON (((-64073.61748680289 31493.23254385682, -64015.13824983141 31441.03889514276, -64003.15246926096 31431.00436722095, -64002.87372460576 31426.82328333836, -64001.61939809068 31425.84768832302, -64015.31940904703 31409.82019170767, -64018.10673861866 31409.82020455287, -64019.77921572213 31410.09894098323, -64023.02652514856 31412.88634447612, -64028.60122671328 31417.90361322627, -64077.24102014479 31459.78398640426, -64091.87477326168 31473.16348068417, -64073.61748680289 31493.23254385682)))"
3,05100031472-064026,秋田県八峰町峰浜塙下才神185,53490.0,秋田県八峰町峰浜塙下才神185,1.0,1324.0,農業振興地域内・農用地区域内,八峰町農業委員会,藤嶋　久徳,1271.0,1271.0,1271.0,12.71,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,高杉　良一,,15925.0,106.0,,☑,2021/06/27,"MULTIPOLYGON (((-64073.11306513265 31494.34338488909, -64054.128957168 31515.4724128396, -63979.3212145623 31450.79643671512, -63998.28658331082 31428.67026781901, -64073.11306513265 31494.34338488909)))"
4,05100030885-068966,秋田県八峰町峰浜沼田黒トフ5-2,53490.0,秋田県八峰町峰浜沼田黒トフ5-2,1.0,1239.0,農業振興地域内・農用地区域内,八峰町農業委員会,小林　信夫,5502.0,5502.0,5502.0,55.02,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,小林　信夫,,2075.0,10.0,,☑,2021/07/04,"MULTIPOLYGON (((-69035.77273463954 30908.97066603018, -68897.48382003752 30895.56515040972, -68895.83750920786 30893.44843291746, -68896.77822275441 30891.33179746339, -68888.54676403389 30886.3929400548, -68888.07642380954 30884.74663194719, -68906.42085450412 30860.75773081195, -69036.47825081606 30874.86880208194, -69036.94862382043 30878.16142415641, -69036.94863860971 30883.57067949703, -69036.94862789656 30888.03914684871, -69036.24308531306 30892.74291433238, -69035.77270346212 30895.32989139235, -69035.77273463954 30908.97066603018)))"
5,05100031314-068908,秋田県八峰町峰浜沼田下釜谷1-18,53490.0,秋田県八峰町峰浜沼田下釜谷1-18,1.0,2742.0,農業振興地域内・農用地区域内,八峰町農業委員会,伊藤　正悦,2632.0,2632.0,2632.0,26.32,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,伊藤　正悦　外１名,,2500.0,17.0,,☑,2021/07/04,"MULTIPOLYGON (((-68964.7760988681 31347.11632468532, -68844.83163009371 31314.19035896792, -68850.00572951724 31280.79407316961, -68972.77240906229 31315.13110760824, -68964.7760988681 31347.11632468532)))"
6,05100030412-068996,秋田県八峰町峰浜沼田坊塚下1-8,53490.0,秋田県八峰町峰浜沼田坊塚下1-8,1.0,2080.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　章,1996.0,1996.0,1996.0,19.96,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,斉藤　章,,1600.0,2.0,,☑,2021/07/04,"MULTIPOLYGON (((-69050.25585419885 30431.32538793436, -68963.08054350107 30427.24879891838, -68958.37686591003 30425.68089514765, -68956.49532000195 30421.91791062309, -68955.55458537747 30417.84138266517, -68953.67311565968 30394.63643662072, -69011.37188580708 30387.73772651871, -69018.58425448778 30398.39947311723, -69028.61879233846 30407.80685752116, -69038.02625771744 30417.52786701959, -69044.29785546601 30422.54508875558, -69049.94225943771 30423.79941356659, -69053.7052059259 30429.44385619299, -69050.25585419885 30431.32538793436)))"
7,05100030496-068972,秋田県八峰町峰浜沼田坊塚下1-5,53490.0,秋田県八峰町峰浜沼田坊塚下1-5,1.0,5327.0,農業振興地域内・農用地区域内,八峰町農業委員会,芹田　正嗣,5113.0,5113.0,5113.0,51.13,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,芹田　正嗣,,1675.0,4.0,,☑,2021/07/04,"MULTIPOLYGON (((-69060.77007194029 30514.50158332747, -68887.04665556033 30500.07692378386, -68882.97008919153 30499.13623002594, -68879.52070867253 30497.88191548976, -68875.44412910474 30495.68677677478, -68875.1306119177 30490.04238690985, -68877.95277976616 30484.3978898546, -68879.83427149986 30480.00783477743, -69060.14295619924 30491.29670800373, -69061.39721963108 30496.62757732327, -69062.65154307269 30500.39053522611, -69062.65156314879 30504.15348488555, -69063.27875265801 30506.66213909952, -69061.39725955762 30511.99293807793, -69060.77007194029 30514.50158332747)))"
8,05100030960-068952,秋田県八峰町峰浜沼田寺子長根下3-7,53490.0,秋田県八峰町峰浜沼田寺子長根下3-7,1.0,5714.0,農業振興地域内・農用地区域内,八峰町農業委員会,小林　正典,5485.0,5485.0,5485.0,54.85,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,小林　正典,,2150.0,12.0,,☑,2021/07/04,"MULTIPOLYGON (((-69026.83563487399 30982.3484521771, -68873.9653023415 30964.70952138667, -68873.96532471685 30961.65218698315, -68873.96527148059 30958.59475205003, -68873.96525584543 30954.36145796614, -68873.96527900244 30951.30402376638, -68875.14120656629 30948.2466507124, -68876.31712078901 30945.65952165103, -68877.96347276146 30944.01328544824, -68878.43384359706 30942.36698707831, -68878.19859491632 30939.30959963849, -68877.72825611016 30937.66329202789, -69028.7171555495 30955.77257404772, -69029.65788070658 30959.77072619165, -69029.42266543423 30965.88554054305, -69028.95235513092 30970.11882277418, -69028.24678655309 30975.52810714358, -69026.83563487399 30982.3484521771)))"
9,05100031066-068955,秋田県八峰町峰浜沼田寺子長根下3-4,53490.0,秋田県八峰町峰浜沼田寺子長根下3-4,1.0,5540.0,農業振興地域内・農用地区域内,八峰町農業委員会,芹田　正嗣,5318.0,5318.0,5318.0,53.18,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,芹田　正嗣,,2250.0,15.0,,☑,2021/07/04,"MULTIPOLYGON (((-69021.11667468587 31086.83368678983, -68886.5907483582 31072.09546805662, -68887.53148346425 31046.69541067144, -69023.62526074814 31059.86580165447, -69021.11667468587 31086.83368678983)))"
10,05100031030-068948,秋田県八峰町峰浜沼田寺子長根下3-5,53490.0,秋田県八峰町峰浜沼田寺子長根下3-5,1.0,5847.0,農業振興地域内・農用地区域内,八峰町農業委員会,森田　早苗,5613.0,5613.0,5613.0,56.13,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,森田　和?,,2200.0,14.0,,☑,2021/07/04,"MULTIPOLYGON (((-69021.11666632058 31052.02632695236, -68872.16605140911 31036.03375280861, -68874.04751590578 31010.63370510785, -68875.30183055249 31008.4386463776, -68879.37838083316 31008.43865489183, -69023.93883310788 31023.490505707, -69021.11666632058 31052.02632695236)))"
11,05100031351-068896,秋田県八峰町峰浜沼田下釜谷1-11,53490.0,秋田県八峰町峰浜沼田下釜谷1-11,1.0,5684.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　キヌ,5456.0,5456.0,5456.0,54.56,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,齊藤　久三,,2525.0,18.0,,☑,2021/07/04,"MULTIPOLYGON (((-68959.60196975681 31352.29039366121, -68952.0760816635 31383.33484664842, -68832.13164924034 31348.99783825604, -68839.6575913772 31318.42372162166, -68959.60196975681 31352.29039366121)))"
12,05100031949-065685,秋田県八峰町峰浜畑谷上根洗向83,53490.0,秋田県八峰町峰浜畑谷上根洗向83,1.0,942.0,農業振興地域内・農用地区域内,八峰町農業委員会,有限会社白神ファーム,910.0,910.0,910.0,9.1,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,武田　正勝,,6025.0,28.0,,☑,2021/06/30,"MULTIPOLYGON (((-65643.42423950629 31965.96074649784, -65643.21853836799 31963.49231418317, -65645.48123101371 31961.02391890793, -65647.94961466764 31957.32135022126, -65648.56675154394 31953.20730586079, -65647.12681241098 31944.15643720384, -65643.62990801324 31938.39680504459, -65640.33873743723 31933.46001537062, -65636.84178465841 31930.78595792949, -65632.43684858226 31926.73191715897, -65637.37573296552 31918.97088992333, -65666.06833185274 31937.55050060293, -65675.71087438888 31926.02643081714, -65679.70902847173 31929.78935460348, -65688.2670176744 31919.6780510322, -65727.55585687945 31945.18500571016, -65738.45801685279 31951.97313662537, -65737.42944109409 31953.61874151151, -65731.05274631713 31961.22965390047, -65724.6759963549 31966.57784440506, -65712.74535105006 31969.04626774877, -65705.95723137622 31970.07473918044, -65700.81474889882 31971.30899871731, -65692.58667374931 31971.92608458301, -65682.91880431944 31970.6919059571, -65675.3078714 31968.63484928097, -65668.51974882049 31967.40062803529, -65660.291679498 31966.57786887203, -65652.47506493048 31966.57785514673, -65648.77242861762 31966.16642306036, -65645.06984456553 31966.37212760987, -65643.42423950629 31965.96074649784)))"
13,05100030522-068977,秋田県八峰町峰浜沼田坊塚下1-4,53490.0,秋田県八峰町峰浜沼田坊塚下1-4,1.0,5879.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　友子,5643.0,5643.0,5643.0,56.43,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,サイトウ　イチロウ,,1700.0,5.0,,☑,2021/07/04,"MULTIPOLYGON (((-69071.74536636098 30541.78312408825, -68880.77502030965 30524.22262627001, -68880.14783440859 30507.60288520402, -68880.77505153569 30502.27196596581, -69061.08369039829 30516.6966979016, -69064.8466621845 30519.51888621179, -69069.23678992185 30521.71400619957, -69066.7281151239 30521.7139868843, -69066.7281097471 30524.53614914372, -69065.78736494349 30528.29916673742, -69073.62689913421 30529.55345339833, -69073.62691327758 30533.31640329783, -69071.74536636098 30541.78312408825)))"
14,05100030699-068986,秋田県八峰町峰浜沼田黒トフ1-5,53490.0,秋田県八峰町峰浜沼田黒トフ1-5,1.0,5838.0,農業振興地域内・農用地区域内,八峰町農業委員会,伊藤　鉄美,5604.0,5604.0,5604.0,56.04,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,伊藤　鉄美,,1850.0,6.0,,☑,2021/07/04,"MULTIPOLYGON (((-69049.05362321062 30741.62811709892, -68922.99438652676 30729.39846710082, -68925.3462003623 30693.17994244634, -68922.05364113985 30691.29841725078, -68918.76100912849 30691.29846725408, -68917.34995835387 30686.59471083312, -68914.99808636024 30681.8910403821, -68908.41288279156 30680.00957442019, -68902.29805293308 30679.06880749302, -68900.41658436642 30658.84290988188, -69060.8128690233 30672.01321868999, -69055.63882302894 30704.93921337763, -69052.34619418002 30706.35033637282, -69051.87588500297 30710.1132722152, -69052.81662384007 30710.11330285236, -69054.69805178441 30709.64292030503, -69049.05362321062 30741.62811709892)))"
15,05100030995-068954,秋田県八峰町峰浜沼田寺子長根下3-6,53490.0,秋田県八峰町峰浜沼田寺子長根下3-6,1.0,4167.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　敏美,4000.0,4000.0,4000.0,40.0,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,斉藤　敏美,,2175.0,13.0,,☑,2021/07/04,"MULTIPOLYGON (((-69028.32899930145 31018.15960586042, -68877.1833432682 31002.794239953, -68881.57339643734 30973.00407825413, -68882.20057568273 30971.74976838932, -69030.5240308956 30988.36948498731, -69028.32899930145 31018.15960586042)))"
16,05100031419-068888,秋田県八峰町峰浜沼田下釜谷1-17,53490.0,秋田県八峰町峰浜沼田下釜谷1-17,1.0,3889.0,農業振興地域内・農用地区域内,八峰町農業委員会,小林　光男,3733.0,3733.0,3733.0,37.33,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,小林　光男,,2575.0,19.0,,☑,2021/07/04,"MULTIPOLYGON (((-68948.28215230451 31421.62170347862, -68950.39879260767 31423.20918447737, -68948.28211373532 31438.02583284707, -68945.10709792878 31442.25913999252, -68929.76131156553 31445.43422702072, -68828.69041566804 31417.91754689638, -68835.56959945768 31388.28419703759, -68948.28215230451 31421.62170347862)))"
17,05100030847-068979,秋田県八峰町峰浜沼田黒トフ5-3,53490.0,秋田県八峰町峰浜沼田黒トフ5-3,1.0,3233.0,農業振興地域内・農用地区域内,八峰町農業委員会,株式会社みらいファーム,4977.0,4977.0,4977.0,49.77,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,小林　敬一郎,,2025.0,9.0,,☑,2021/07/04,"MULTIPOLYGON (((-69040.7116117893 30871.81139923205, -68908.77266847638 30857.22998493915, -68907.36157712615 30854.40770317892, -68907.36156084915 30852.76139997132, -68907.83194321752 30851.11510352194, -68912.30047304093 30845.70586383853, -68914.41715425359 30842.64841058844, -68925.47081055492 30821.95220595761, -69042.1226845231 30834.65217406135, -69040.7116117893 30871.81139923205)))"
18,05100033193-065805,秋田県八峰町峰浜畑谷野田中台11-1,53490.0,秋田県八峰町峰浜畑谷野田中台11-1,1.0,3694.0,農業振興地域内・農用地区域内,八峰町農業委員会,嶋田　鐘子,3560.0,3560.0,3560.0,35.6,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,タケダ　ヨシオ,9.0,8650.0,54.0,,☑,2021/07/07,"MULTIPOLYGON (((-65773.76787031798 33224.99741039996, -65794.36512716877 33153.83123469027, -65836.08779379644 33163.20562979257, -65817.07495774605 33230.80695757979, -65773.76787031798 33224.99741039996)))"
19,05100031908-064880,秋田県八峰町峰浜塙大槻野175-1,53490.0,秋田県八峰町峰浜塙大槻野175-1,1.0,1892.0,農業振興地域内・農用地区域内,八峰町農業委員会,白鳥　禮一,1754.0,1754.0,1754.0,17.54,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,畠山　忠,,10750.0,64.0,,☑,2021/06/30,"MULTIPOLYGON (((-64922.04759796149 31918.35854927379, -64916.04051955307 31922.30836776697, -64909.37509404161 31927.98638339611, -64902.79193728283 31935.31010264107, -64843.46150681989 31899.57193091369, -64843.70842970378 31891.53225471314, -64849.9623557468 31878.77747753268, -64878.1875172599 31894.74158523679, -64917.02798746987 31913.75030993842, -64922.04759796149 31918.35854927379)))"
