no,id1,id2,Date,Pref,Location,LandUse,Crop,Farmer,Collector,Field name in KSAS,x,y,x_53n,y_53n,dsm_AW3D30,AcquisitionDate_S2,B2,B3,B4,B8,B11,B12,AcquisitionId_S1,type,VV,VH,Layer,pH1,pH2,EC,Y1,Humus,CS,FS,Sand,Silt,Clay,TC,TN,CEC,CaO,MgO,K2O,Na2O,BaseSaturation,PAcidAbsCoef,AvailP1,AvailP2,AvailSi1,AvailSi2,HotAvailN,AvailN,UplandAvailN,NH4,NO3,InorgN,FreeIron,WaterExB,Mn,SoilTypeName3,SoilTypeNum,SoilTypeName2,SoilTaxon
211,20001,青1,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.5919456,40.68136697,,,27,20200417,0.0543,0.0621,0.0777,0.1232,0.2202,0.1611,,,,,,5.51,,0.07,,4.803,,,,,,3.867725873,0.331128972,18.29,259.58,51.5,19.97,,,1100,9.458,,25.96,,,,,0.946,0.105,1.051,1.976,,,,,,
212,20002,青2,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.5891326,40.68143771,,,25,20200417,0.0584,0.0707,0.0929,0.1482,0.2236,0.1707,,,,,,5.28,,0.05,,4.57,,,,,,3.20870816,0.267248323,15.58,175.54,28.36,15.06,,,1100,4.155,,25.45,,,,,1.039,0.208,1.246,2.264,,,,,,
213,20003,青3,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.5918444,40.67921629,,,25,20200417,0.0813,0.0907,0.125,0.1996,0.2866,0.2408,,,,,,5.67,,0.05,,6.05,,,,,,2.859231663,0.24086453,15.02,196.83,32.53,15.64,,,1000,10.36,,21.55,,,,,0.932,0.311,1.243,1.999,,,,,,
214,20004,青4,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.592404,40.6778422,,,28,20200417,0.0453,0.0531,0.0717,0.125,0.2204,0.1524,,,,,,5.69,,0.08,,9.105,,,,,,3.996549637,0.320280332,17.66,216.79,30.24,12.06,,,1400,10.575,,27.6,,,,,0.952,0.106,1.058,3.352,,,,,,
215,20005,青5,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.5958357,40.67164885,,,30,20200417,0.0689,0.0871,0.1148,0.1844,0.256,0.1965,,,,,,5.66,,0.05,,3.866,,,,,,2.754002072,0.241536285,14.42,180.75,34.79,9.82,,,1100,3.134,,37.82,,,,,1.149,0.104,1.254,2.737,,,,,,
216,20006,青6,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.5959279,40.67218369,,,30,20200417,0.0785,0.101,0.1402,0.2138,0.271,0.214,,,,,,5.56,,0.09,,4.076,,,,,,2.876950786,0.247690161,13.73,179.9,32.03,18.3,,,1100,5.199,,38.48,,,,,1.04,0.104,1.144,3.192,,,,,,
217,20007,青7,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.6044085,40.67312569,,,27,20200417,0.1001,0.1266,0.1674,0.2786,0.3897,0.3124,,,,,,5.57,,0.05,,4.804,,,,,,2.725843745,0.238488178,15.25,185.91,30.29,21.62,,,1100,12.533,,20.47,,,,,1.253,0,1.253,1.525,,,,,,
218,20008,青8,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.6408887,40.66711454,,,112,20200417,0.1082,0.1272,0.17,0.2654,0.371,0.2999,,,,,,5.52,,0.04,,3.913,,,,,,1.810813286,0.15875135,11.91,97.31,30.02,15.53,,,900,10.353,,19.98,,,,,1.242,0.104,1.346,1.304,,,,,,
219,20009,青9,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.6406483,40.66750721,,,111,20200417,0.1312,0.1604,0.2056,0.3254,0.3982,0.32,,,,,,5.49,,0.05,,4.693,,,,,,2.592090416,0.21413004,13.82,113.45,29.08,18.67,,,1000,12.376,,25.89,,,,,1.031,0.103,1.134,1.279,,,,,,
220,20010,青10,2020,青森,（株）アグリーンハート,水田,水稲,アグリーンハート,Sagri,,140.639061,40.67192787,,,95,20200417,0.0832,0.0955,0.127,0.2222,0.3037,0.234,,,,,,5.45,,0.05,,5.24,,,,,,2.89232061,0.232921097,14.39,147.96,30.21,20.24,,,1000,14.385,,26.72,,,,,1.028,0.103,1.13,1.459,,,,,,
