,longitude,latitude,B2,B3,B4,B8,B11,B12,predpH1
0,140.0231431973264,40.27160893437077,765,1120,916,3237,1878,1283,6.525367326174947
1,140.07991672328274,40.280592087211964,702,940,971,2481,2169,1451,6.220012941024539
2,140.08018621786798,40.2808615817972,672,915,997,2408,2258,1536,6.2721208855199535
3,140.0803658809248,40.28104124485402,813,1108,1124,2910,2399,1747,6.421548637505333
4,140.02233471357067,40.275292027035654,747,1001,986,2592,1891,1273,6.548684924204696
5,140.02296353426956,40.27924461428578,1052,1296,1398,2423,2088,1627,6.530450190017443
6,140.02206521898543,40.271069945200296,1082,1332,1376,2654,2162,1480,6.572356123648599
7,140.02233471357067,40.271878428956,629,912,818,2580,1723,1121,6.472066565693271
8,140.0225143766275,40.27601067926295,736,1003,1050,2633,1853,1285,6.559871337168828
9,140.0225143766275,40.276998826075484,554,866,607,3648,1958,1084,6.282846110893948
10,140.0226042081559,40.27663949996184,785,1124,1070,2950,1959,1253,6.536990741450171
11,140.0231431973264,40.27951410887102,1042,1242,1326,2496,2036,1546,6.695490837329859
12,140.06087243925938,40.28517349516097,613,916,760,2761,2021,1272,6.332134252091918
13,140.02224488204226,40.27205809201283,622,821,767,2228,1426,957,6.509435681081196
14,140.02215505051385,40.27385472258106,727,1001,954,2355,1692,1132,6.564065804333687
15,140.0225143766275,40.2763700053766,1024,1294,1484,2587,2268,1784,6.726856225521497
16,140.0232330288548,40.2801429295699,1028,1262,1348,2636,2198,1486,6.630360584432278
17,140.02224488204226,40.27502253245042,727,969,926,2462,1808,1212,6.5582200617585
18,140.05925547174797,40.29640243621247,580,818,697,2238,2103,1395,6.3054829518680995
19,140.07030474974266,40.284904000575736,677,968,993,2691,2002,1270,6.4062973504471
20,140.06743014083347,40.28310737000749,531,725,648,2142,887,503,6.247488015698626
21,140.06743014083347,40.28382602223479,484,757,529,3172,1598,919,6.237754399961612
22,140.0234126919116,40.27385472258106,901,1204,1230,2714,2025,1476,6.855835582386604
23,140.06518435262316,40.27142927131394,668,952,789,2796,1905,1167,6.381744275204935
24,140.08171335385097,40.284365011405264,764,1023,1076,2482,2252,1526,6.399398424698815
25,140.05808766187863,40.295863447041995,609,804,790,2127,2586,1905,6.278055909241399
26,140.06446570039589,40.27214792354124,705,990,991,2575,1586,1082,6.598510001746663
27,140.07704211437354,40.271878428956,629,889,860,2655,1870,1141,6.2300933210830465
28,140.07713194590195,40.27160893437077,630,959,900,2700,1932,1153,6.319220535440148
29,140.06868778223125,40.27178859742759,673,905,964,2223,1340,893,6.1252483723077376
30,140.06266906982765,40.27376489105265,639,902,877,2840,1948,1157,6.33751396768027
31,140.07713194590195,40.278166635944835,626,923,806,2645,1154,735,6.333219101014809
32,140.07767093507243,40.27313607035377,604,845,814,2341,1858,1190,6.301768821817077
33,140.0818930169078,40.28526332668938,688,949,912,2258,1060,684,6.249747720100852
34,140.08647442485682,40.287239620314445,692,980,869,2871,2112,1301,6.2804412485239
