lat,lon,APCP_mean,xy,time,APCP_2021
40.270832,140.01875,3.9933083,"40.270832,140.01875",2021/1/1,0
40.270832,140.01875,3.9715095,"40.270832,140.01875",2021/1/2,0.9943396
40.270832,140.01875,3.939961,"40.270832,140.01875",2021/1/3,0
40.270832,140.01875,3.8373194,"40.270832,140.01875",2021/1/4,0
40.270832,140.01875,3.8036113,"40.270832,140.01875",2021/1/5,0
40.270832,140.01875,3.6991172,"40.270832,140.01875",2021/1/6,0
40.270832,140.01875,3.5943415,"40.270832,140.01875",2021/1/7,18.504148
40.270832,140.01875,3.490195,"40.270832,140.01875",2021/1/8,0
40.270832,140.01875,3.387253,"40.270832,140.01875",2021/1/9,1.1926789
40.270832,140.01875,3.2836084,"40.270832,140.01875",2021/1/10,1.2956365
40.270832,140.01875,3.1824632,"40.270832,140.01875",2021/1/11,0
40.270832,140.01875,3.0909927,"40.270832,140.01875",2021/1/12,5.2408977
40.270832,140.01875,2.9943264,"40.270832,140.01875",2021/1/13,5.586378
40.270832,140.01875,2.9707623,"40.270832,140.01875",2021/1/14,5.28656
40.270832,140.01875,2.8855515,"40.270832,140.01875",2021/1/15,0
40.270832,140.01875,2.8838055,"40.270832,140.01875",2021/1/16,4.7468452
40.270832,140.01875,2.8832679,"40.270832,140.01875",2021/1/17,0.7419244
40.270832,140.01875,2.8870754,"40.270832,140.01875",2021/1/18,2.2228475
40.270832,140.01875,2.8912275,"40.270832,140.01875",2021/1/19,4.393959
40.270832,140.01875,2.8304574,"40.270832,140.01875",2021/1/20,2.1021407
40.270832,140.01875,2.836449,"40.270832,140.01875",2021/1/21,5.155232
40.270832,140.01875,2.8400204,"40.270832,140.01875",2021/1/22,13.109674
40.270832,140.01875,2.8448377,"40.270832,140.01875",2021/1/23,0
40.270832,140.01875,2.8404775,"40.270832,140.01875",2021/1/24,0
40.270832,140.01875,2.7781985,"40.270832,140.01875",2021/1/25,0
40.270832,140.01875,2.7714455,"40.270832,140.01875",2021/1/26,0
40.270832,140.01875,2.7094123,"40.270832,140.01875",2021/1/27,8.027232
40.270832,140.01875,2.7025108,"40.270832,140.01875",2021/1/28,0
40.270832,140.01875,2.6370304,"40.270832,140.01875",2021/1/29,7.782262
40.270832,140.01875,2.630277,"40.270832,140.01875",2021/1/30,1.001772
40.270832,140.01875,2.5548117,"40.270832,140.01875",2021/1/31,0
40.270832,140.01875,2.5549352,"40.270832,140.01875",2021/2/1,7.8014965
40.270832,140.01875,2.481268,"40.270832,140.01875",2021/2/2,1.996181
40.270832,140.01875,2.4789824,"40.270832,140.01875",2021/2/3,1.1289088
40.270832,140.01875,2.480153,"40.270832,140.01875",2021/2/4,2.0541165
40.270832,140.01875,2.4072235,"40.270832,140.01875",2021/2/5,1.6256207
40.270832,140.01875,2.4092066,"40.270832,140.01875",2021/2/6,3.8935993
40.270832,140.01875,2.4110491,"40.270832,140.01875",2021/2/7,1.4758965
40.270832,140.01875,2.3461802,"40.270832,140.01875",2021/2/8,2.081938
40.270832,140.01875,2.350201,"40.270832,140.01875",2021/2/9,1.8317081
40.270832,140.01875,2.3553512,"40.270832,140.01875",2021/2/10,0
40.270832,140.01875,2.3612669,"40.270832,140.01875",2021/2/11,0
40.270832,140.01875,2.364288,"40.270832,140.01875",2021/2/12,0
40.270832,140.01875,2.3672142,"40.270832,140.01875",2021/2/13,0
40.270832,140.01875,2.3729901,"40.270832,140.01875",2021/2/14,0
40.270832,140.01875,2.3787184,"40.270832,140.01875",2021/2/15,22.549255
40.270832,140.01875,2.3894377,"40.270832,140.01875",2021/2/16,1.1807606
40.270832,140.01875,2.392313,"40.270832,140.01875",2021/2/17,1.762958
40.270832,140.01875,2.4638333,"40.270832,140.01875",2021/2/18,6.243905
40.270832,140.01875,2.4738588,"40.270832,140.01875",2021/2/19,0.53585887
40.270832,140.01875,2.4859295,"40.270832,140.01875",2021/2/20,6.381634
40.270832,140.01875,2.5568995,"40.270832,140.01875",2021/2/21,0
40.270832,140.01875,2.5703332,"40.270832,140.01875",2021/2/22,0
40.270832,140.01875,2.6441858,"40.270832,140.01875",2021/2/23,1.9018226
40.270832,140.01875,2.656969,"40.270832,140.01875",2021/2/24,1.936932
40.270832,140.01875,2.6675465,"40.270832,140.01875",2021/2/25,0
40.270832,140.01875,2.6708503,"40.270832,140.01875",2021/2/26,2.1002426
40.270832,140.01875,2.6743314,"40.270832,140.01875",2021/2/27,2.1240132
40.270832,140.01875,2.6064384,"40.270832,140.01875",2021/2/28,0
40.270832,140.01875,2.617193,"40.270832,140.01875",2021/3/1,2.4741573
40.270832,140.01875,2.6102307,"40.270832,140.01875",2021/3/2,13.618302
40.270832,140.01875,2.542119,"40.270832,140.01875",2021/3/3,0
40.270832,140.01875,2.472353,"40.270832,140.01875",2021/3/4,0
40.270832,140.01875,2.4742653,"40.270832,140.01875",2021/3/5,0.776327
40.270832,140.01875,2.3966863,"40.270832,140.01875",2021/3/6,5.4467144
40.270832,140.01875,2.4002419,"40.270832,140.01875",2021/3/7,0
40.270832,140.01875,2.3263521,"40.270832,140.01875",2021/3/8,0
40.270832,140.01875,2.330026,"40.270832,140.01875",2021/3/9,0
40.270832,140.01875,2.3339765,"40.270832,140.01875",2021/3/10,2.017249
40.270832,140.01875,2.3391669,"40.270832,140.01875",2021/3/11,0
40.270832,140.01875,2.2721107,"40.270832,140.01875",2021/3/12,0
40.270832,140.01875,2.2837722,"40.270832,140.01875",2021/3/13,5.220505
40.270832,140.01875,2.2862024,"40.270832,140.01875",2021/3/14,8.274076
